,Stationary Distribution
0,4.257752833643795e-12
1,7.0790456829783466e-12
2,1.1040498376635455e-11
3,1.6597945240448553e-11
4,2.4509918400417163e-11
5,3.5960630306863806e-11
6,5.26910425013849e-11
7,7.72189603925888e-11
8,1.1318427445283774e-10
9,1.6586322246214813e-10
10,2.430608665726641e-10
11,3.5618428345651765e-10
12,5.219574009118766e-10
13,7.648839964180532e-10
14,1.1208724434719208e-09
15,1.6425429488764465e-09
16,2.407007579363629e-09
17,3.527265937663948e-09
18,5.168908981389997e-09
19,7.5745983790787e-09
20,1.1099932556435377e-08
21,1.626601141280215e-08
22,2.3836462373361123e-08
23,3.4930317485692974e-08
24,5.1187422855925035e-08
25,7.501083448824275e-08
26,1.0992202706394671e-07
27,1.610814243657721e-07
28,2.3605118977532147e-07
29,3.459130333283156e-07
30,5.069062645052247e-07
31,7.428282143145948e-07
32,1.088551858301895e-06
33,1.595180588484285e-06
34,2.3376020999474025e-06
35,3.4255579694880385e-06
36,5.019865186869834e-06
37,7.356187435401295e-06
38,1.0779869891236856e-05
39,1.5796986673144686e-05
40,2.3149146545044218e-05
41,3.3923114380442096e-05
42,4.9711452126228254e-05
43,7.28479245125037e-05
44,0.00010675246596704393
45,0.00015643670130310142
46,0.00022924472786457593
47,0.0003359387522228846
48,0.0004922898964212888
49,0.0007214092621862522
50,0.0010571634176864712
51,0.0015491829352404687
52,0.0022701834094089467
53,0.0033268234076451863
54,0.0048752744449885605
55,0.007143996280953059
56,0.01046704866486406
57,0.015326898754711635
58,0.02241330918589674
59,0.03269972782402104
60,0.04748675689662377
61,0.06807345650028461
62,0.0961507950590332
63,0.1311169707140135
64,0.167280103420472
65,0.19550302119776522
66,0.1909878457723387
