,Stationary Distribution
0,0.03762856120345587
1,0.04392785976898669
2,0.04920909444685991
3,0.05035934473708161
4,0.04957559860029584
5,0.04886289639400667
6,0.04742053904664566
7,0.04570287425681461
8,0.04374700635794956
9,0.04186282814336267
10,0.039908644263469725
11,0.03804332989919735
12,0.03626212609754941
13,0.03455636979658818
14,0.03293550997631433
15,0.031388474823659
16,0.029913144210943557
17,0.028506248865664455
18,0.027166594331997612
19,0.025892137037829437
20,0.024673732713345685
21,0.0234922900331358
22,0.022383183505593575
23,0.02133135871591588
24,0.020281888684464264
25,0.01928866147970156
26,0.018168392072313785
27,0.016978000538869647
28,0.015482908215358727
29,0.014006779322083853
30,0.011988278652470766
31,0.009055343808075506
