,Stationary Distribution
0,0.07731917256823732
1,0.08879995920045519
2,0.0910001905852225
3,0.08943161033914258
4,0.08282812838660114
5,0.07389538975287238
6,0.06499670818838868
7,0.056838591625914446
8,0.049368268145682306
9,0.04285632181895612
10,0.03734272364363505
11,0.03241981773071059
12,0.028146089112507763
13,0.024444051483730172
14,0.02122809396291758
15,0.01843359307543301
16,0.01600792266346271
17,0.013901189780769407
18,0.012071377372901216
19,0.010482517349866462
20,0.009102963653937658
21,0.00790487222417416
22,0.006864465809549824
23,0.005961006458390217
24,0.005176453802214609
25,0.004495157076579951
26,0.0039035302625405307
27,0.0033897699338435736
28,0.002943627297027911
29,0.0025562035785357895
30,0.0022197705212047046
31,0.0019276170204451288
32,0.0016739150570362394
33,0.0014536040007020617
34,0.001262288448122603
35,0.0010961500035249771
36,0.00095188224158702
37,0.0008266024504347176
38,0.000717809552384011
39,0.0006233260328710165
40,0.0005412858121291765
41,0.0004699091122506414
42,0.00040780609869834586
43,0.0003535990056200329
44,0.0003061978378082451
45,0.0002654107504607647
46,0.00022735656693534842
47,0.0001926933066130076
48,0.00015849293880077742
49,0.00012426679427629298
50,9.024956389424545e-05
