,Stationary Distribution
0,0.0749438738157885
1,0.08451381915012823
2,0.08877177666191934
3,0.08606092848551039
4,0.08010763335801395
5,0.07351217331382814
6,0.06610963614037887
7,0.05871384039801265
8,0.05160162513654475
9,0.04536967527688218
10,0.039361167722807934
11,0.034092898193656976
12,0.029497749752061785
13,0.025500344758737185
14,0.02204161005847987
15,0.01904378487434237
16,0.016453082110780535
17,0.01421405237022287
18,0.012279846056190999
19,0.01060735323905481
20,0.009162598585583881
21,0.007914870804967701
22,0.006836903061422325
23,0.005905805290315078
24,0.005101590662437429
25,0.004406874419134415
26,0.003806755533988386
27,0.0032883566663307762
28,0.0028405481375673573
29,0.0024537230059833597
30,0.0021195766476221935
31,0.0018309339000944335
32,0.001581598631355755
33,0.001366217816269109
34,0.0011801672844561702
35,0.0010194529441881087
36,0.0008806245564112249
37,0.0007607017169596875
38,0.0006571099047836522
39,0.000567625119989705
40,0.0004903262853690417
41,0.00042355403148031925
42,0.0003658747245640472
43,0.0003160500934296537
44,0.0002730108245613211
45,0.00023583249744868614
46,0.0002037168225210366
47,0.00017597464945429857
48,0.00015201056964264333
49,0.00013131033330097998
50,0.00011342896451150643
51,9.798448434853978e-05
52,8.464528969110537e-05
53,7.310248455086346e-05
54,6.313497657478016e-05
55,5.455001779755806e-05
56,4.710397563231867e-05
57,4.067864572882473e-05
58,3.510877702996636e-05
59,3.0226537633315978e-05
60,2.5947050141354353e-05
61,2.2076432480232612e-05
62,1.877959257013565e-05
63,1.5706788175165313e-05
64,1.2937772344809718e-05
65,1.0221089087326149e-05
66,7.800726729466942e-06
