,Stationary Distribution
0,0.03341795552956593
1,0.03974127846489531
2,0.04379611885779705
3,0.04693962906395352
4,0.04846690889001455
5,0.048229368365743326
6,0.04689870889835719
7,0.04602771529150796
8,0.04459776220237052
9,0.04315728260667688
10,0.04131143538408939
11,0.03944004660731796
12,0.03763061224985634
13,0.03585788663977604
14,0.03428267515886752
15,0.032672500339686855
16,0.031154698172884607
17,0.029712601596923335
18,0.028342084937844687
19,0.026990708027872016
20,0.025618134948534182
21,0.024398462047289942
22,0.023234455089910913
23,0.0220120431476423
24,0.02091490616955185
25,0.019661668879857274
26,0.01798392415888939
27,0.016661003794987212
28,0.015366136578791146
29,0.013765780369179834
30,0.0119797488615885
31,0.009735758667776276
