,Stationary Distribution
0,0.037198919741178976
1,0.044945052727654144
2,0.047996152256886825
3,0.047607035713809726
4,0.04631285688723637
5,0.044640884940666994
6,0.04301206122867462
7,0.041529293410267655
8,0.04005282136590703
9,0.03863527067938959
10,0.03726745909116594
11,0.03594780666647768
12,0.034674499777831304
13,0.03344639694377721
14,0.03226188502259062
15,0.03111927829460144
16,0.030017147842541326
17,0.028954049280915498
18,0.02792859995138221
19,0.02693946723124571
20,0.025985423452202974
21,0.02506514900558165
22,0.02417705524470351
23,0.023320345533869722
24,0.02249412578099013
25,0.02169523159896338
26,0.020905563558825144
27,0.02006674236317569
28,0.019160936359306133
29,0.018143245489269256
30,0.01623913701688674
31,0.012260105542024079
