,Stationary Distribution
0,0.07908624965188131
1,0.09341854542899182
2,0.09589262273139801
3,0.09159579780879934
4,0.08388170134262861
5,0.07462641048085303
6,0.0651460007810441
7,0.05666648226952574
8,0.049128591304343036
9,0.042444158355045065
10,0.036652215326040606
11,0.031645508556107954
12,0.027321034183194606
13,0.02358634667068912
14,0.020362369494826452
15,0.017579426820195115
16,0.01517659750364339
17,0.013102163784246605
18,0.011311339837709152
19,0.009765282085861906
20,0.008430539569401142
21,0.00727823156964199
22,0.006283424860560724
23,0.0054245909976716085
24,0.004683144377492067
25,0.004043040557721577
26,0.0034904277633531675
27,0.003013347446955112
28,0.002601475645769102
29,0.0022458995031541494
30,0.0019389243907647026
31,0.0016739073977697864
32,0.0014451135842050468
33,0.001247591876428934
34,0.0010770679254487536
35,0.0009298516108785715
36,0.0008027571871883975
37,0.000693034344454795
38,0.0005983086919402515
39,0.0005165303764957264
40,0.00044592972380664035
41,0.00038497894343578545
42,0.00033235906717691774
43,0.00028693140604530137
44,0.000247712909454941
45,0.00021385489390607338
46,0.0001846246770487569
47,0.00015938972488031605
48,0.00013760395253746959
49,0.00011879585074962677
50,0.00010255854136153125
51,8.854067088904529e-05
52,7.643872666496395e-05
53,6.599074680837635e-05
54,5.6970890716667786e-05
55,4.9184205228139355e-05
56,4.246339007969225e-05
57,3.666186959018028e-05
58,3.1628866379919754e-05
59,2.7291133278894465e-05
60,2.354084484032428e-05
61,2.02576151169297e-05
62,1.7288579088090266e-05
63,1.4550254010566109e-05
64,1.1951250323550037e-05
65,9.562459643411292e-06
66,6.884712617170538e-06
