,Stationary Distribution
0,6.285611371317156e-07
1,9.758299660822534e-07
2,1.390796930645958e-06
3,1.8720547835646512e-06
4,2.4591144906982014e-06
5,3.184641573504075e-06
6,4.111204977510358e-06
7,5.292467439174458e-06
8,6.812181801841639e-06
9,8.765389748220129e-06
10,1.1278529569249664e-05
11,1.4512177615964287e-05
12,1.8673022001322394e-05
13,2.402675037138004e-05
14,3.091551030075703e-05
15,3.9779320639525815e-05
16,5.118450212295398e-05
17,6.585967174710422e-05
18,8.474237793261491e-05
19,0.00010903896678497072
20,0.00014030166058502351
21,0.00018052771865376515
22,0.00023228703903564087
23,0.00029888633549561946
24,0.00038458039356991904
25,0.0004948438999433998
26,0.0006367211792009287
27,0.0008192763086303516
28,0.0010541720549247066
29,0.0013564153576551105
30,0.0017453141744383162
31,0.0022457135865945094
32,0.0028895846537975657
33,0.0037180574462731303
34,0.0047840911273147445
35,0.006155763460015805
36,0.007920890633312357
37,0.010191209451939789
38,0.013112535209299192
39,0.01687229064298993
40,0.021709927176205162
41,0.027948923039725813
42,0.0359684904848866
43,0.04629606453150715
44,0.05894765068096067
45,0.07510054111421009
46,0.09533843706227098
47,0.11823071893399174
48,0.14366618087761313
49,0.1550823508858061
50,0.14599174980721893
